Data Size,Average,Standard Deviation
7609,10.88470502,12.44704952
7610,10.88060983,12.43918339
7611,10.8755243,12.44293472
7612,10.87713129,12.44041895
7613,10.87981799,12.43970963
7614,10.87865296,12.43823699
7615,10.87779628,12.43431315
7616,10.87839457,12.43296126
7617,10.87684389,12.4349314
7618,10.87839569,12.4387665
7619,10.87875593,12.43368793
7620,10.88316319,12.43151911
7621,10.88153236,12.43235741
7622,10.88121322,12.43334449
7623,10.88176534,12.42847337
7624,10.88118892,12.4273471
7625,10.88325755,12.42986823
7626,10.88207126,12.42856418
7627,10.88358794,12.4237644
7628,10.88401936,12.42420907
7629,10.88120853,12.4195596
7630,10.88154284,12.42212243
7631,10.87929592,12.42363156
7632,10.87907143,12.42064967
7633,10.88149135,12.41829102
7634,10.88308424,12.41918412
7635,10.88037892,12.41592842
7636,10.88579066,12.41449209
7637,10.88187405,12.41739242
7638,10.88423705,12.4153173
7639,10.88501471,12.41285223
7640,10.8815434,12.41158467
7641,10.88180268,12.41695503
7642,10.87847535,12.41080635
7643,10.8861883,12.40943087
7644,10.88646162,12.40908643
7645,10.87944057,12.40732467
7646,10.88406018,12.40557763
7647,10.88420706,12.40332873
7648,10.88555203,12.40413109
7649,10.88601919,12.39762743
7650,10.88232528,12.39799775
7651,10.8877618,12.39967821
7652,10.88726368,12.40128509
7653,10.88180064,12.3983976
7654,10.88783401,12.39488932
7655,10.8857912,12.39499211
7656,10.88280381,12.39307295
7657,10.8850335,12.39618915
7658,10.88958549,12.38971745
7659,10.88758511,12.39001161
7660,10.88407603,12.38860507
7661,10.88276395,12.39014772
7662,10.88369792,12.38903643
7663,10.88734255,12.38788703
7664,10.88496739,12.3857962
7665,10.8886997,12.38970657
7666,10.88436483,12.38518353
7667,10.8873046,12.38391535
7668,10.88898734,12.37742527
7669,10.88786445,12.37890068
7670,10.89131801,12.37951888
7671,10.89136275,12.37716679
7672,10.89256998,12.38075689
7673,10.88756425,12.37795691
7674,10.88922681,12.37580796
7675,10.8860066,12.37069287
7676,10.8873429,12.37798851
7677,10.89250754,12.37352555
7678,10.89040989,12.3716618
7679,10.88770685,12.37083188
